t,error,base_angle_deg,base_omega,effort,smoothness,mu,lambda,manipulability
0.002,0.6084514857315472,0.0010542621556940822,0.009090824351641012,0.22535100516253542,2253.510051625354,nan,0.04,0.14248908107260377
0.012,0.6077915799235615,0.02331814864128807,0.05756005471755594,0.22425942775294122,0.06252652646427788,nan,0.04,0.14245294209794224
0.022000000000000006,0.6065483248030037,0.06794770064049181,0.08923111543887721,0.22224275271181107,0.2091416271161976,nan,0.04,0.14242159448576322
0.032000000000000015,0.6050303586912644,0.12543980858843626,0.10648976152849599,0.21983642308604487,0.30421840275538764,nan,0.04,0.14240105468388134
0.04200000000000002,0.603375663339302,0.18986647929015213,0.11578671787676449,0.21727729931715778,0.3584523503052293,nan,0.04,0.14238548692052994
0.05200000000000003,0.6016536165971931,0.25808136514240726,0.12093864602951424,0.21468260087443772,0.3874836109680937,nan,0.04,0.14237130671903966
0.06200000000000004,0.5998997656176729,0.32845603993062894,0.12395313252449738,0.2121110726077023,0.4023155835014396,nan,0.04,0.14235672831776808
0.07200000000000005,0.5981323805591926,0.4001509722095179,0.12586660792103105,0.20959201565801805,0.409502540387778,nan,0.04,0.14234091907287766
0.08200000000000006,0.596360856754917,0.4727332077371657,0.12721238791620074,0.20713988229809752,0.4126681245744116,nan,0.04,0.1423235229349717
0.09200000000000007,0.5945900245925934,0.545979043494982,0.12826478478214315,0.20476164979678355,0.41374623789626996,nan,0.04,0.142304418548853
0.10200000000000008,0.5928223647932688,0.6197724791381419,0.12916492193825618,0.20246054028485622,0.4137512677755414,nan,0.04,0.14228359908996344
0.11200000000000009,0.5910591479305434,0.6940529762183545,0.12998543004214458,0.20023789437987916,0.4132105397036952,nan,0.04,0.14226111300541583
0.1220000000000001,0.58930102093135,0.7687885750321738,0.13076370444784682,0.19809411381723044,0.41239671019534546,nan,0.04,0.14223703490676667
0.1320000000000001,0.5875483091157091,0.8439620528056958,0.13151900522178023,0.1960291352032105,0.4114501109061047,nan,0.04,0.1422114513177903
0.1420000000000001,0.585801171833116,0.9195637916349365,0.13226125315029477,0.19404266780117588,0.41044252464981806,nan,0.04,0.14218445371755115
0.1520000000000001,0.5840596827062196,0.9955881005895352,0.13299555658078588,0.19213431262202083,0.4094102754105706,nan,0.04,0.14215613515672818
0.16200000000000012,0.5823238710270044,1.0720313171865714,0.13372454244165038,0.19030362183212204,0.4083713610847302,nan,0.04,0.14212658861970573
0.17200000000000013,0.5805937431240467,1.1488908261959465,0.1344495572618465,0.18855012816508962,0.40733431723638497,nan,0.04,0.14209590623733265
0.18200000000000013,0.5788692933970411,1.2261645517799153,0.13517128634999728,0.18687335926740176,0.4063028022721435,nan,0.04,0.14206417891298923
0.19200000000000014,0.5771505100174907,1.3038506941191825,0.1358900732074404,0.1852728444850931,0.40527796979292696,nan,0.04,0.14203149614878713
0.20200000000000015,0.5754373778743264,1.3819475924432614,0.13660608440852082,0.1837481178654301,0.4042596964259967,nan,0.04,0.14199794596828588
0.21200000000000016,0.5737298800956027,1.4604536535334562,0.13731939476901267,0.18229871927026078,0.4032472174791967,nan,0.04,0.1419636148855176
0.22200000000000017,0.5720279988338057,1.5393673141871944,0.1380300313717594,0.18092419455388442,0.4022394560699449,nan,0.04,0.14192858789608634
0.23200000000000018,0.5703317156701342,1.618687021335759,0.1387379963434471,0.17962409528391865,0.4012351934990071,nan,0.04,0.1418929484786744
0.2420000000000002,0.5686410118215277,1.6984112213695053,0.13944327865012515,0.17839797824520387,0.4002331573731203,nan,0.04,0.1418567786013697
0.25200000000000017,0.5669558682455558,1.7785383542885105,0.1401458602140982,0.17724540484702805,0.3992320670861925,nan,0.04,0.14182015873018713
0.2620000000000002,0.5652762656924224,1.8590668504062626,0.14084571909242893,0.17616594049383003,0.3982306572020423,nan,0.04,0.1417831678385015
0.2720000000000002,0.5636021847296098,1.9399951283849144,0.14154283113403218,0.17515915394934656,0.3972276893760736,nan,0.04,0.1417458834168267
0.2820000000000002,0.5619336057523932,2.021321594021261,0.1422371708485654,0.17422461670904754,0.39622195834821056,nan,0.04,0.14170838148265552
0.2920000000000002,0.5602705089871013,2.1030446394224325,0.1429287118667506,0.17336190238811894,0.39521229486837767,nan,0.04,0.14167073659024731
0.3020000000000002,0.558612874490689,2.1851626424050226,0.143617427188826,0.17257058612847834,0.3941975670435756,nan,0.04,0.14163302184030596
0.3120000000000002,0.5569606821484707,2.2676739660408884,0.14430328932310701,0.17185024402641555,0.39317668088357394,nan,0.04,0.1415953088895207
0.32200000000000023,0.5553139116709872,2.3505769582798166,0.14498627036756362,0.17120045258151748,0.3921485804365422,nan,0.04,0.14155766795997685
0.33200000000000024,0.553672542590502,2.4338699516222078,0.14566634206187784,0.17062078816709236,0.39111224773261505,nan,0.04,0.14152016784841334
0.34200000000000025,0.552036554257392,2.5175512628472214,0.14634347582424714,0.17011082652207626,0.3900667026310441,nan,0.04,0.1414828759353426
0.35200000000000026,0.5504059258365662,2.601619192754227,0.1470176427803435,0.16967014226430152,0.38901100263298316,nan,0.04,0.14144585819403566
0.36200000000000027,0.5487806363039955,2.6860720259465665,0.1476888137882786,0.16929830842498617,0.387944242680754,nan,0.04,0.14140917919936108
0.3720000000000003,0.5471606644433672,2.7709080306268437,0.14835695946157762,0.16899489600425566,0.3868655549630898,nan,0.04,0.14137290213649378
0.3820000000000003,0.5455459888429155,2.856125458414854,0.1490220501911934,0.16875947354753415,0.38577410872167534,nan,0.04,0.1413370888094866
0.3920000000000003,0.5439365878924125,2.9417225441872037,0.14968405616709787,0.16859160674262583,0.3846691100714828,nan,0.04,0.14130179964971376
0.4020000000000003,0.5423324397803416,3.0276975059257514,0.15034294739972323,0.16849085803732822,0.38354980182562937,nan,0.04,0.14126709372418028
0.4120000000000003,0.540733522491249,3.1140485445966317,0.1509986937413876,0.16845678627740956,0.38241546332982923,nan,0.04,0.14123302874370813
0.4220000000000003,0.5391398138032768,3.2007738440303832,0.15165126490777187,0.1684889463648032,0.38126541029863387,nan,0.04,0.14119966107099094
0.43200000000000033,0.5375512912858862,3.28787157082775,0.15230063049947395,0.16858688893586182,0.3800989946572581,nan,0.04,0.14116704572852715
0.44200000000000034,0.5359679322977582,3.3753398742777874,0.15294676002364632,0.16875016005952306,0.3789156043817238,nan,0.04,0.14113523640643266
0.45200000000000035,0.5343897139848842,3.46317688628722,0.15358962291572045,0.16897830095524977,0.3777146633412144,nan,0.04,0.14110428547012308
0.46200000000000035,0.532816613278844,3.5513807213283726,0.1542291885612003,0.16927084773057924,0.37649563113178947,nan,0.04,0.14107424396788856
0.47200000000000036,0.5312486068952679,3.6399494764019207,0.1548654263175228,0.1696273311381575,0.3752580029111098,nan,0.04,0.14104516163833705
0.4820000000000004,0.5296856713324922,3.7288812310113713,0.15549830553596544,0.17004727635208866,0.37400130921963093,nan,0.04,0.1410170869177293
0.4920000000000004,0.528127782870396,3.818174047152822,0.15612779558359013,0.17053020276345687,0.3727251157984479,nan,0.04,0.140990066947197
0.5020000000000003,0.5265749175694289,3.907825969316899,0.15675386586520948,0.1710756237948671,0.37142902339374567,nan,0.04,0.14096414757984024
0.5120000000000003,0.5250270512698307,3.9978349779978903,0.1573760776355576,0.17168304673383403,0.3701126675497543,nan,0.04,0.1409393733877183
0.5220000000000004,0.5234841066649704,4.088195352836096,0.1579833456306215,0.17235248857876256,0.36895972000108046,nan,0.04,0.14091553756451142
0.5320000000000004,0.5219458309246973,4.178901418716677,0.15858757283343095,0.17308496066458096,0.36832441920308223,nan,0.04,0.14089201189374675
0.5420000000000004,0.5204120049626964,4.2699553189967725,0.15919791919370085,0.17388080660676122,0.367946162577089,nan,0.04,0.14086856604924206
0.5520000000000004,0.5188825154076053,4.361362053657445,0.15982177772710615,0.17473982546858668,0.3676065269333589,nan,0.04,0.14084523715218958
0.5620000000000004,0.517357484434337,4.453131074153852,0.16045603191446167,0.1756599683912985,0.36668304653031036,nan,0.04,0.14082284454720506
0.5720000000000004,0.5158371251151878,4.545259051639732,0.16107828080980424,0.17663983002026395,0.3653854739965733,nan,0.04,0.14080180079818352
0.5820000000000004,0.5143215388584956,4.637739195496477,0.1616896767998703,0.17767874632568753,0.36398470878724,nan,0.04,0.14078217360314893
0.5920000000000004,0.512810765172882,4.730566394737361,0.16229325018029503,0.17877612288431696,0.3625257880279165,nan,0.04,0.14076400449490195
0.6020000000000004,0.511304812266178,4.823736859753105,0.16289084632603826,0.17993137802872247,0.3610257569397485,nan,0.04,0.1407473304089487
0.6120000000000004,0.509803671734226,4.917247538906257,0.16348345839234696,0.18114393296019082,0.3594932637269436,nan,0.04,0.14073218584547936
0.6220000000000004,0.508307326211364,5.011095770529666,0.16407160551028116,0.18241320753628806,0.35793291797270343,nan,0.04,0.14071860345962006
0.6320000000000005,0.5068157534370752,5.105279094093224,0.16465555224737213,0.1837386179527322,0.3563472157161945,nan,0.04,0.1407066143461229
0.6420000000000005,0.5053289284271915,5.199795149164064,0.16523542717833367,0.18511957543896382,0.3547375383813583,nan,0.04,0.1406962481954451
0.6520000000000005,0.5038468246353347,5.2946416214610705,0.1658112863113416,0.18655548554517148,0.353104684446444,nan,0.04,0.14068753338201295
0.6620000000000005,0.5023694145754425,5.38981621409817,0.16638314699498857,0.1880457477792243,0.3514491535787567,nan,0.04,0.14068049701532345
0.6720000000000005,0.500896670156382,5.48531663228073,0.166951006061536,0.18958975545237122,0.3497712985690361,nan,0.04,0.14067516497057847
0.6820000000000005,0.4994285628626298,5.581140575224356,0.16751484954847398,0.1911868956514488,0.34807140652602214,nan,0.04,0.14067156190799177
0.6920000000000005,0.4979650638526129,5.677285731939909,0.16807465791678267,0.192836549289782,0.3463497421673321,nan,0.04,0.1406697112858236
0.7020000000000005,0.49650614401298987,5.773749779091337,0.16863040885877495,0.1945380912090583,0.3446065707819137,nan,0.04,0.1406696353699207
0.7120000000000005,0.4950517739893806,5.8705303799833235,0.16918207881439842,0.19629089031608987,0.3428421702698092,nan,0.04,0.140671355241284
0.7220000000000005,0.49360192420452104,5.967625184151817,0.16972964379474342,0.1980943097450771,0.341056837308262,nan,0.04,0.1406748908025122
0.7320000000000005,0.4921565648697363,6.065031827283782,0.17027307983347273,0.1999477070398508,0.33925089034972117,nan,0.04,0.14068026078357715
0.7420000000000005,0.4907156659928972,6.16274793132505,0.17081236323812907,0.20185043435273675,0.33742467090291645,nan,0.04,0.14068748274719817
0.7520000000000006,0.4892791973845607,6.260771104689159,0.1713474707336071,0.2038018386579679,0.3355785438817138,nan,0.04,0.14069657309394495
0.7620000000000006,0.4878471286631986,6.359098942526127,0.1718783795473688,0.205801261978267,0.33371289744458293,nan,0.04,0.14070754706715233
0.7720000000000006,0.48641942926001763,6.457729027029685,0.17240506746305603,0.20784804162360793,0.33182814254548115,nan,0.04,0.14072041875769145
0.7820000000000006,0.48499606842362697,6.556658927767103,0.17292751285684818,0.20994151044140535,0.3299247123261701,nan,0.04,0.14073520110861945
0.7920000000000006,0.48357701522468954,6.655886202028582,0.1734456947242891,0.21208099707750408,0.32800306141445335,nan,0.04,0.14075190591971873
0.8020000000000006,0.48216223856064344,6.755408395186791,0.17395959270174582,0.21426582624738105,0.3260636651611094,nan,0.04,0.14077054385194043
0.8120000000000006,0.48075170716052035,6.855223041071626,0.1744691870847434,0.2164953190170512,0.324107018843649,nan,0.04,0.1407911244317483
0.8220000000000006,0.47934538958989154,6.955327662351911,0.17497445884438043,0.21876879309312505,0.32213363683791385,nan,0.04,0.14081365605537646
0.8320000000000006,0.4779432542559392,7.055719770927183,0.17547538964247866,0.2210855631215536,0.32014405177873123,nan,0.04,0.14083814599298977
0.8420000000000006,0.4765452694126625,7.156396868325876,0.17597196184581126,0.2234449409945161,0.31813881369834507,nan,0.04,0.14086460039275858
0.8520000000000006,0.475151403166222,7.257356446117452,0.17646415853959585,0.22584623616496896,0.3161184891577821,nan,0.04,0.1408930242848418
0.8620000000000007,0.4737616234804078,7.358595986322809,0.17695196354034542,0.2282887559683153,0.3140836603635811,nan,0.04,0.1409234215852933
0.8720000000000007,0.4723758981822452,7.460112961839673,0.1774353614081323,0.23077180595073626,0.3120349242839511,nan,0.04,0.1409557950998664
0.8820000000000007,0.4709941949677233,7.561904836870927,0.1779143374582833,0.2332946902036286,0.3099728917526864,nan,0.04,0.1409901465277433
0.8920000000000007,0.46961648140764306,7.6639690673614265,0.1783888777725173,0.23585671170364828,0.3078981865694023,nan,0.04,0.1410264764651786
0.9020000000000007,0.46824272495358693,7.7663031014389015,0.17885896920953154,0.23845717265787097,0.3058114446012262,nan,0.04,0.1410647844090558
0.9120000000000007,0.4668728929440022,7.8689043798629985,0.17932459941503173,0.24109537485353136,0.3037133128771301,nan,0.04,0.1411050687603596
0.9220000000000007,0.4655069526103953,7.97177033647708,0.17978575683120582,0.24377062001183758,0.30160444868488456,nan,0.04,0.14114732682757278
0.9320000000000007,0.46414487108362723,8.074898398668669,0.18024243070564033,0.24648221014537727,0.29948551867126033,nan,0.04,0.14119155482998225
0.9420000000000007,0.46278661540031696,8.178285987830941,0.18069461109967275,0.24922944791857612,0.2973571979409578,nan,0.04,0.14123774790091145
0.9520000000000007,0.46143215250933756,8.281930519833617,0.18114228889618034,0.2520116370107331,0.2952201691625712,nan,0.04,0.1412859000908691
0.9620000000000007,0.46008144927840633,8.385829405492151,0.1815854558068028,0.25482808248113464,0.29307512167997923,nan,0.04,0.1413360043706215
0.9720000000000008,0.45873447250076305,8.489980051045311,0.1820241043785971,0.2576780911357495,0.29092275063024947,nan,0.04,0.14138805263418297
0.9820000000000008,0.4573911889019306,8.594379858636348,0.1824582280001231,0.26056097189502564,0.28876375606949894,nan,0.04,0.14144203570173564
0.9920000000000008,0.4560515651465568,8.699026226792096,0.18288782090696123,0.2634760361623227,0.2865988421110279,nan,0.04,0.1414979433224651
1.0020000000000007,0.454715567845327,8.803916550913591,0.18331287818666114,0.26642259819249114,0.2844287160708734,nan,0.04,0.14155576417732926
1.0120000000000007,0.45338316356195213,8.909048223761223,0.1837333957831224,0.2693999754601581,0.2822540876290025,nan,0.04,0.14161548588174658
1.0220000000000007,0.4520543188202161,9.014418635946363,0.18414937050041072,0.27240748902726136,0.2800756680030807,nan,0.04,0.14167709498821593
1.0320000000000007,0.4507290001110859,9.12002517642436,0.18456080000600905,0.27544446390938787,0.2778941691363708,nan,0.04,0.1417405769888647
1.0420000000000007,0.44940717389987883,9.225865232988287,0.18496768283351098,0.2785102294405058,0.2757103029045576,nan,0.04,0.14180591631792103
1.0520000000000007,0.4480888066334784,9.331936192765378,0.18537001838475295,0.2816041196356365,0.27352478033475985,nan,0.04,0.14187309635412587
1.0620000000000007,0.446773845490882,9.43823230462537,0.18574729865526826,0.2847255816853963,0.2713522494021734,nan,0.04,0.14194209075041783
1.0720000000000007,0.44546096091392556,9.544729504662584,0.18611095544858094,0.2878809429049223,0.2700935455260008,nan,0.04,0.14201235975578025
