t,error,base_angle_deg,base_omega,effort,smoothness,mu,lambda,manipulability
0.1520000000000001,0.5836192975150423,0.9511776491484242,0.12511260932684493,0.27545795165286796,1.953584098353036,8.0,0.04,0.14249368413971022
0.16200000000000012,0.5818301508589414,1.0229764151032792,0.12544351737939438,0.2807341369921028,1.9565029450182294,8.0,0.04,0.1424906530657326
0.17200000000000013,0.5800440938855008,1.0949593245888016,0.1257592318960935,0.2863903253792774,1.958980674310306,8.0,0.04,0.1424868862046945
0.18200000000000013,0.5782609829845311,1.1671347551929785,0.1261280025223207,0.2924265229746118,1.9612005795569842,8.0,0.04,0.14248239978608934
0.19200000000000014,0.5764796647657748,1.2395607348797844,0.12660638559741802,0.2988424467920332,1.9637544806785026,8.0,0.04,0.14247722957872247
0.20200000000000015,0.5746993620700729,1.3122485600475888,0.12703264027735223,0.30563920986343374,1.9668171009180737,8.0,0.04,0.1424713532917024
0.21200000000000016,0.5729208059893818,1.385151456644174,0.12738533902498625,0.31281773540989194,1.9693847427816351,8.0,0.04,0.14246474083535007
0.22200000000000017,0.5711445765146415,1.4582399154443608,0.12769693728302717,0.3203779529848967,1.9713063806297704,8.0,0.04,0.1424573971963891
0.23200000000000018,0.569370964235612,1.5314967987655221,0.12798383137148076,0.3283197090554235,1.9727927933538922,8.0,0.04,0.1424493226283254
0.2420000000000002,0.5676001052283355,1.604911345098856,0.12825466974097421,0.3366427959506548,1.9739651286908861,8.0,0.04,0.14244051177885864
0.25200000000000017,0.565832054932887,1.6784761692951182,0.12851408213330182,0.34534693708790576,1.9748866597796737,8.0,0.04,0.14243095479652185
0.2620000000000002,0.5640668270908065,1.752185705513231,0.12876458982237882,0.35443177389680125,1.9755899920992488,8.0,0.04,0.14242063809473862
0.2720000000000002,0.5623044142089689,1.8260353931992594,0.12900760624750335,0.3638968561556734,1.9760919114153885,8.0,0.04,0.1424095448170034
0.2820000000000002,0.5605447983245561,1.9000212507429446,0.12924396265646662,0.37374163490301743,1.9764011910599815,8.0,0.04,0.14239765512360408
0.2920000000000002,0.5587879566761806,1.9741396519838776,0.12947418437028374,0.3839654570922419,1.9765226803846407,8.0,0.04,0.14238494637715998
0.3020000000000002,0.5570338646960908,2.048387209079794,0.129698636049353,0.3945675613947671,1.9764594489111518,8.0,0.04,0.1423713932717275
0.3120000000000002,0.5552824975911569,2.1227607111558617,0.12991759811705536,0.40554707476292656,1.9762139149350286,8.0,0.04,0.14235696793090813
0.32200000000000023,0.5535338311789626,2.1972570922768684,0.1301313069778354,0.41690300951055054,1.9757884431543855,8.0,0.04,0.1423416399893548
0.33200000000000024,0.5517878423296635,2.2718734147580366,0.1303399761754794,0.42863426076616334,1.9751856644336452,8.0,0.04,0.14232537666577688
0.34200000000000025,0.5500445091983962,2.346606860566741,0.13054380750670963,0.4407396042147908,1.9744086499262934,8.0,0.04,0.14230814283201984
0.35200000000000026,0.5483038113457387,2.421454726901707,0.1307429968354276,0.45321769408235946,1.9734610087592515,8.0,0.04,0.14228990108075817
0.36200000000000027,0.5465657297977154,2.4964144239571175,0.1309377371084972,0.46606706133942477,1.9723469454842473,8.0,0.04,0.14227061179325862
0.3720000000000003,0.54483024707259,2.5714834737770134,0.13112821989295628,0.4792861121147698,1.9710712962592598,8.0,0.04,0.14225023320800637
0.3820000000000003,0.5430973471888518,2.6466595096393015,0.13131463613232197,0.4928731263181728,1.9696395537514828,8.0,0.04,0.14222872149064208
0.3920000000000003,0.5413670156620538,2.7219402756710798,0.13149717649147796,0.5068262564764321,1.9680578859283924,8.0,0.04,0.14220603080547858
0.4020000000000003,0.5396392394945336,2.79732362652675,0.1316760314863105,0.5211435267907527,1.9663331515333566,8.0,0.04,0.14218211338871048
0.4120000000000003,0.537914007160182,2.872807527059326,0.13185139150262562,0.5358228324255906,1.9644729136060701,8.0,0.04,0.14215691962341245
0.4220000000000003,0.5361913085853975,2.9483900519239876,0.1320234467604138,0.5508619390411856,1.9624854518568513,8.0,0.04,0.14213039811635517
0.43200000000000033,0.5344711351268472,3.024069385100154,0.13219238725379434,0.5662584825834263,1.960379774215731,8.0,0.04,0.14210249577664819
0.44200000000000034,0.5327534795463577,3.0998438193200153,0.13235840268340887,0.5820099693460191,1.9581656277747024,8.0,0.04,0.14207315789622568
0.45200000000000035,0.5310383359831298,3.175711755390013,0.13252168239082954,0.5981137763217644,1.95585350922714,8.0,0.04,0.14204232823214363
0.46200000000000035,0.5293256999233976,3.251671701418874,0.13268241530067088,0.6145671518599345,1.9534546747647328,8.0,0.04,0.14200994909069703
0.47200000000000036,0.5276155681675956,3.3277222719330326,0.13284078987418338,0.6313672166494521,1.950981149556549,8.0,0.04,0.1419759614133114
0.4820000000000004,0.5259079387951178,3.4038621868983094,0.13299699407699497,0.6485109650474623,1.9484457366702481,8.0,0.04,0.14194030486419398
0.4920000000000004,0.524202811126724,3.48009027063491,0.1331512153631408,0.6659952667751144,1.9458620255439663,8.0,0.04,0.14190291791970994
0.5020000000000003,0.5225001856846553,3.5564054506464773,0.13330364067725833,0.6838168690028648,1.9432443998708846,8.0,0.04,0.14186373795943638
0.5120000000000003,0.5208000641505497,3.6328067563499284,0.1334544564767073,0.7019723988494662,1.9406080449867145,8.0,0.04,0.14182270135886393
0.5220000000000004,0.5191024493212295,3.709293317729505,0.1336038487752859,0.7204583663192473,1.9379689546931689,8.0,0.04,0.14177974358368298
0.5320000000000004,0.5174073450624644,3.785864363897254,0.1337520032102194,0.7392711677039381,1.9353439375133092,8.0,0.04,0.1417347992856163
0.5420000000000004,0.5157147562608261,3.8625192215955266,0.13389910513407108,0.7584070894758357,1.9327506223408049,8.0,0.04,0.1416878023997235
0.5520000000000004,0.5140246887737457,3.939257313614455,0.1340453397332282,0.7778623127001981,1.9302074635777873,8.0,0.04,0.14163868624313
0.5620000000000004,0.5123371493779283,4.016078157171903,0.13419089217459887,0.7976329179956623,1.9277337456408281,8.0,0.04,0.1415873836150963
0.5720000000000004,0.5106521457162736,4.092981362225285,0.1343359477821217,0.8177148910716276,1.9253495869721826,8.0,0.04,0.14153382689837035
0.5820000000000004,0.5089696862434697,4.16996662975136,0.134480692244693,0.8381041288724912,1.9230759434813824,8.0,0.04,0.14147794816173115
0.5920000000000004,0.5072897801704557,4.247033749998379,0.1346253118570073,0.8587964463585483,1.920934611498783,8.0,0.04,0.14141967926364976
0.6020000000000004,0.5056124374079518,4.324182600712264,0.13476999379482418,0.8797875839537739,1.91894823034159,8.0,0.04,0.1413589519569803
0.6120000000000004,0.5039376685092837,4.401413145361377,0.13491492642600927,0.9010732156900646,1.917140284427838,8.0,0.04,0.14129569799458822
0.6220000000000004,0.5022654846127361,4.478725431368004,0.13506029965862262,0.9226489580775035,1.9155351050831424,8.0,0.04,0.14122984923582563
0.6320000000000005,0.5005958973836996,4.556119588353495,0.1352063053272686,0.9445103797294663,1.9141578722349222,8.0,0.04,0.14116133775375683
0.6420000000000005,0.49892891895687874,4.633595826426938,0.13535313761863493,0.9666530117703269,1.913034615876611,8.0,0.04,0.14109009594302885
0.6520000000000005,0.4972645618788581,4.71115443451757,0.13550099353712683,0.9890723590520937,1.9121922176585704,8.0,0.04,0.14101605662830205
0.6620000000000005,0.4956028390513459,4.788795778777836,0.13565007341117996,1.0117639122049522,1.91165841254856,8.0,0.04,0.140939153173119
0.6720000000000005,0.49394369228662105,4.866513921994386,0.1357727429254677,1.0283167262211357,1.248459180929421,8.0,0.04,0.1408590013835236
0.6820000000000005,0.49228633119109255,4.94429125312889,0.1358851830990018,1.042016051465257,1.184277768590533,8.0,0.04,0.14077328546667012
0.6920000000000005,0.49062992390927807,5.022142357119135,0.1360335672502784,1.05597310006528,1.2008438082901263,8.0,0.04,0.14068112132353006
0.7020000000000005,0.4889740756058218,5.100084709918268,0.13620797591718783,1.070194802821103,1.21828088390515,8.0,0.04,0.14058242059739035
0.7120000000000005,0.48731862137716875,5.1781288343683896,0.1363975618324298,1.0846853656118627,1.236255495951067,8.0,0.04,0.14047716734604157
0.7220000000000005,0.4856635162053721,5.256280535380768,0.13659602856141917,1.0994477236178037,1.2546002543779868,8.0,0.04,0.14036536406246466
0.7320000000000005,0.4840087790094782,5.334543005983865,0.1368000169236984,1.1144841228905686,1.273231652420698,8.0,0.04,0.14024702305867698
0.7420000000000005,0.4823544631954389,5.412918033500254,0.13700777788524152,1.1297964203465556,1.2921105064035086,8.0,0.04,0.1401221632162189
0.7520000000000006,0.4807006410404672,5.4914066477181125,0.13721842611835627,1.1453862482581563,1.311221899628584,8.0,0.04,0.1399908083689182
