trial_id,controller,base_mass_kg,target_x,target_y,target_z,final_error_m,max_base_angle_deg,base_omega_integral,effort_integral,smoothness_integral,min_manipulability,precision_success,base_stable_success,original_base_mass_kg,inertia_scale,new_base_inertia_x,new_base_inertia_y,new_base_inertia_z,mean_mu,mean_lambda
0,clik,40.0,0.7208846169945873,-0.01472901416116601,0.850509271968984,0.2907159805216401,32.59520852142634,0.6175171049235223,3.0354603704811782,12.020030316610642,0.006074164141894536,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,nan,nan
0,dls,40.0,0.7208846169945873,-0.01472901416116601,0.850509271968984,0.26695266643063625,32.78132048462215,0.6118169566534675,2.9245277200383657,9.945259185132475,0.015587013440588875,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,nan,0.04
0,fixed_rns,40.0,0.7208846169945873,-0.01472901416116601,0.850509271968984,0.23308236106086583,34.2501850078585,0.7030015500743787,8.575018421901678,12.392361271861619,0.034355791184880045,1,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,8.0,0.04
0,react_ns,40.0,0.7208846169945873,-0.01472901416116601,0.850509271968984,0.1596023453098711,32.94373353399859,0.602327193294479,3.5791426379677422,7.589927453888452,0.108070820744931,1,1,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,37.88062255593827,0.10919270256346711
1,clik,40.0,0.6940788101707774,-0.2387847238730278,0.8914678230728645,0.2678764121823985,33.449902385818184,0.9727382620317164,15.825524028613252,326192.15277025325,8.166467666778526e-05,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,nan,nan
1,dls,40.0,0.6940788101707774,-0.2387847238730278,0.8914678230728645,0.25018627371669544,33.560506557634156,0.6661015358958804,3.038549116391417,10.811153105409467,0.005416038336111207,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,nan,0.04
1,fixed_rns,40.0,0.6940788101707774,-0.2387847238730278,0.8914678230728645,0.2749253501596958,36.162724970493585,0.7915036379863141,8.39408324760084,23.77155451568487,0.022285518408088373,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,8.0,0.04
1,react_ns,40.0,0.6940788101707774,-0.2387847238730278,0.8914678230728645,0.146809603290963,36.37862190181289,0.6918656482797927,3.4833357076352955,8.078856130816082,0.09010966575934401,1,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,39.26013805029726,0.1153988540360938
2,clik,40.0,0.7163988956966236,0.21094179843001987,0.5948397714364411,0.5558698006878985,33.861269859932776,0.9675826246095915,13.629200923031561,283162.9942502582,8.141310594969613e-05,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,nan,nan
2,dls,40.0,0.7163988956966236,0.21094179843001987,0.5948397714364411,0.5173041285990783,34.03919961121531,0.763788637066545,3.077229252867057,10.78526439410044,0.008325437461062356,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,nan,0.04
2,fixed_rns,40.0,0.7163988956966236,0.21094179843001987,0.5948397714364411,0.47194063102591494,34.18783760883478,0.802372495308458,9.168727449280139,15.088689954337285,0.032151013037458626,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,8.0,0.04
2,react_ns,40.0,0.7163988956966236,0.21094179843001987,0.5948397714364411,0.3553861076671388,32.256265322968304,0.5982392252838723,3.5078989255295867,8.897643117421463,0.11054231237620957,0,0,42.0,0.9523809523809523,2.6759999999999997,1.6379047619047615,1.200761904761905,16.929313765424254,0.11201141392427165
