base_mass_kg,controller,num_trials,mean_final_error_m,std_final_error_m,mean_max_base_angle_deg,std_max_base_angle_deg,mean_base_omega_integral,std_base_omega_integral,mean_effort_integral,mean_smoothness_integral,mean_min_manipulability,precision_success_rate,base_stable_success_rate
40.0,clik,20,0.3454489185221878,0.17593059681445095,34.364483945961005,1.2260971861225776,0.7796276072735215,0.13936894101574562,6.267224867791321,85788.03605547921,0.029524122460884743,0.3,0.0
40.0,dls,20,0.31090146178130623,0.14409213910296526,34.48730394407473,1.1675381204819197,0.6931237421542746,0.056718770005204096,2.796138912031417,14.228460400984037,0.0354416163763149,0.3,0.0
40.0,fixed_rns,20,0.3002421656707254,0.1340303996029484,35.0462162834299,1.2158043947326351,0.7663683760581561,0.06887727487423381,8.506998437666832,24.834323544538023,0.04998668610518446,0.35,0.05
40.0,react_ns,20,0.20306003347707602,0.09111930286129617,33.16122646277233,2.790750125782999,0.63988321173968,0.07323277537294187,3.4664992848220137,9.577088466624417,0.10360817409976186,0.65,0.25
100.0,clik,20,0.23137229378861143,0.15542032319996338,26.328962755322454,1.1830414712826678,0.5642724503200982,0.10442076586653141,6.613204301883179,106618.45920162069,0.037120467147064386,0.6,0.6
100.0,dls,20,0.21250163615886036,0.14100099705159808,26.396125614846376,1.197845838430421,0.49436396441964003,0.036795522483207985,2.477381932093989,14.28804617750541,0.04204599826909798,0.6,0.6
100.0,fixed_rns,20,0.20371268178591279,0.14025883226959285,26.33065084147782,1.693521984700628,0.5346973979279188,0.0544160722945201,7.572876986185149,25.0126814423926,0.05177923528217256,0.6,0.6
100.0,react_ns,20,0.14260744396279193,0.08465226992176472,24.074013802127627,2.456989642476203,0.4552881692588738,0.05741718389614587,3.3602459881090043,9.609158606889581,0.106234725992575,0.9,0.9
250.0,clik,20,0.10026761759374914,0.12226886221574011,16.449581662073527,1.9897560054339827,0.30795227703284517,0.06215861387597862,2.9945214484327347,31068.31305450919,0.06957997660516861,0.75,0.75
250.0,dls,20,0.09000871235373473,0.10905152891074892,16.467925005483643,2.0082184893196007,0.2962114782533591,0.0424434828644866,1.7525367959839162,14.041424078711156,0.07214040585240593,0.9,0.9
250.0,fixed_rns,20,0.08411151591808222,0.1050258275252309,15.994940112347356,2.3246259702806813,0.30592024351407626,0.05552997788250969,5.488304951684863,24.812344074892728,0.07272177874188708,0.9,0.9
250.0,react_ns,20,0.07813752400231253,0.06968647867264427,14.504582177559353,2.014450494136855,0.27003572701841044,0.04131182804483153,3.002236463213672,9.506893991203444,0.1106747137813828,1.0,1.0
