trial_id,mu_max,target_x,target_y,target_z,final_error_m,max_base_angle_deg,base_omega_integral,effort_integral,smoothness_integral,min_manipulability,mean_mu,final_mu,mean_lambda,precision_success,base_stable_success
0,5.0,0.7208846169945873,-0.01472901416116601,0.850509271968984,0.14253996119286,33.19436054529623,0.6208068713785431,3.5311354240779784,7.508050743872776,0.10065431288537799,2.947597012659981,3.2617401985573857,0.11120824396722787,1,0
1,5.0,0.6940788101707774,-0.2387847238730278,0.8914678230728645,0.1394256463088446,35.780744943151504,0.6901558864689553,3.354377089433127,7.853908884038754,0.08674009117994755,2.979689684893198,3.2900915063772618,0.11685819932333895,1,0
2,5.0,0.7163988956966236,0.21094179843001987,0.5948397714364411,0.330034622397078,33.143329160385264,0.6462946155679549,3.488550159744182,8.90451812839714,0.11009725001335714,1.8582521880008434,2.0683932362779287,0.11147575663675141,0,0
3,5.0,0.6076350782634485,-0.05898128424882221,0.8743677460970107,0.04615567284924559,32.68926465300127,0.6142173153095132,2.8869174382651916,9.336483736245258,0.11039865755200177,3.7967713605080644,4.3256717032584495,0.10807072835295083,1,1
4,5.0,0.6753527920282326,0.23479504862603945,0.705194969589566,0.24194010214496642,32.23346335772829,0.6032955805194259,3.5110618184435873,9.56817575859565,0.11056032268447398,2.226866496423792,2.5197319225191555,0.11153480645104835,1,1
5,5.0,0.5295335526246719,0.06048011156029259,0.5723360396364614,0.2024807259672392,33.48640830519078,0.7274103558043765,3.6861092293224083,10.937093098886209,0.1021183403195064,2.394645333056538,2.7795694575232837,0.11431842233976287,1,0
6,5.0,0.7396709101974037,0.11058185942934212,0.8153307090298809,0.1909086834012945,32.32131228622617,0.5913575891861592,3.5255347989160883,8.728294407934511,0.10534607119289359,2.581711331604751,2.8638786785208223,0.10985171714764741,1,1
7,5.0,0.5740840888454539,0.33095371585668704,0.8625923924627692,0.14995935851457506,28.693577485426943,0.5330782493458257,3.5350158654873347,11.803667794855745,0.08951093861450819,2.77959608681371,3.1956034457070697,0.111427415115781,1,1
8,5.0,0.7224342239758167,-0.17348483989622107,0.713352351304462,0.2397179590805619,35.58915164361443,0.7091710763500831,3.345776691345538,7.1235366355044905,0.10173978281512876,2.293394146883532,2.533300382309139,0.1120906749854183,1,0
9,5.0,0.46533131802553007,-0.1997118301560939,0.7890671336348591,0.029105370226128947,35.712464196705085,0.694604041999183,2.5223388219006067,14.872895243143835,0.10896392386617981,3.80314418389086,4.560399936314184,0.11035773718455821,1,0
10,5.0,0.7106667545677361,0.32888132608223647,0.6640388753483533,0.32817011974159205,32.32295446280496,0.5960219588528839,3.476901453618868,10.076238326641683,0.10991719451831826,1.860755282668938,2.0763911114300226,0.11130967184406323,0,0
11,5.0,0.5796608971122041,0.005211277329275121,0.6163149756795,0.19131160402702269,34.099484457961175,0.7289777197689964,3.6580318493405715,9.910862242593254,0.11144893636973933,2.488736023670095,2.860877117298668,0.11235635482046796,1,0
12,5.0,0.4954725268674151,0.009208202046856906,0.6294182721678094,0.13335403844462324,33.70406421514713,0.7384914849909515,3.701359930583474,12.157493752159581,0.10129541473930363,2.842339937735391,3.3463905408835792,0.11439219757273351,1,0
13,5.0,0.6844348981388786,-0.015851252732985044,0.8414373686202432,0.11846244630337839,33.18354862959197,0.6299614499556825,3.5150169181899646,7.786555137328221,0.10382600206791341,3.126632740410366,3.490403077541384,0.1106769404191377,1,0
14,5.0,0.6950927857007873,-0.09696168310167333,0.8412909304883204,0.12986793942680724,34.31564601263146,0.6640435235325911,3.510839944059221,7.408478904040586,0.09843075442051953,3.036688617824733,3.379338727318576,0.11239244943533028,1,0
15,5.0,0.7316675251238807,-0.04813905363038662,0.6509148363755854,0.2696159242966163,34.66086993408152,0.696043533921917,3.455416972028053,7.3082450399831185,0.10629399832776647,2.1321013256244585,2.360470592691647,0.11096686118203422,0,0
16,5.0,0.6888734263912415,-0.20916088565394864,0.6199678708662879,0.28845922379294453,36.12477027995717,0.7266462158286042,3.1585430500001053,7.744158741991416,0.10676496488344342,2.049783513469404,2.261696780141361,0.11101080582638578,0,0
17,5.0,0.4525767944128519,0.21150084537638986,0.7826977998072113,0.06408455348675636,29.178544570246927,0.5659819165077135,3.376708710990708,13.38110692159341,0.07403186838438178,3.3831720335793958,4.095520749811882,0.12087409715760046,1,1
18,5.0,0.6968078825192173,0.20747387016427904,0.710620521438419,0.24343458634311876,32.44776570933329,0.607415182878934,3.510608869425844,9.278943269154237,0.10968008675771025,2.230357509690784,2.510674161479904,0.1110445311934375,1,1
19,5.0,0.6490594185835128,-0.20913195121702266,0.5900855257375908,0.28451273494026175,36.21627477319104,0.7347712156356256,3.0996341109807,8.492973877269366,0.10891223160655093,2.0567106989950084,2.2817719048808867,0.11080100351745598,0,0
0,10.0,0.7208846169945873,-0.01472901416116601,0.850509271968984,0.14866067244736506,32.902174094906115,0.6062734557943411,3.552180856919235,7.549324799523055,0.10411918856405473,5.3201591369419114,5.9658371201594615,0.11020683793067097,1,1
1,10.0,0.6940788101707774,-0.2387847238730278,0.8914678230728645,0.14107244413301076,35.84656716976744,0.6870891003022099,3.4192445006208345,7.942233843606747,0.0877438994475662,5.433350916958704,6.118875575661947,0.11628751876912294,1,0
2,10.0,0.7163988956966236,0.21094179843001987,0.5948397714364411,0.3379179591895385,32.694469987147116,0.6233233486947906,3.4924937432340983,8.913436658892843,0.1111243608536415,2.8960440307952604,3.329264938063105,0.11150055927018199,0,0
3,10.0,0.6076350782634485,-0.05898128424882221,0.8743677460970107,0.04811361638839979,32.58578521897756,0.6104559967929863,2.934327593770493,9.38255478763142,0.1111063044088455,7.26278795117299,8.424386921484073,0.10794139136323316,1,1
4,10.0,0.6753527920282326,0.23479504862603945,0.705194969589566,0.25216209233008674,31.569374865868554,0.5797813589961582,3.511589338597335,9.563557099521727,0.10946032856974273,3.696911550803087,4.28240441768677,0.11158222860184253,0,0
5,10.0,0.5295335526246719,0.06048011156029259,0.5723360396364614,0.2055046515337151,33.32779102567936,0.7143011131306434,3.7138722801854342,10.930645261822441,0.10129459638382729,4.116491952189872,4.95589143872578,0.11452632199493247,1,0
6,10.0,0.7396709101974037,0.11058185942934212,0.8153307090298809,0.20000635315180562,31.722658164778164,0.5725766568070245,3.533438930563561,8.784126474295654,0.10933951600289228,4.487279455255887,5.04385791077647,0.10893318006403224,1,1
7,10.0,0.5740840888454539,0.33095371585668704,0.8625923924627692,0.16292149982891774,27.226658195590137,0.5095611305261577,3.519943802410626,11.732055268952042,0.08751561979623546,4.890664728983593,5.690497145534615,0.1119979097497226,1,1
8,10.0,0.7224342239758167,-0.17348483989622107,0.713352351304462,0.2409024387520036,35.636100840924925,0.704187787717852,3.4075112987221075,7.157836644436242,0.102198011079105,3.8984454720120554,4.433619052666499,0.1118523870519225,1,0
9,10.0,0.46533131802553007,-0.1997118301560939,0.7890671336348591,0.029309544647202045,35.70962757895206,0.695762316979734,2.555831113621308,15.087247372441755,0.10894022162788994,7.299443651249752,9.004360044233197,0.1103584872395795,1,0
10,10.0,0.7106667545677361,0.32888132608223647,0.6640388753483533,0.33960286060171296,31.51674685556863,0.5725908284025883,3.474913241219771,10.105468833578227,0.10824809771891863,2.8869094164245612,3.313619392553989,0.11141420377503486,0,0
11,10.0,0.5796608971122041,0.005211277329275121,0.6163149756795,0.1938441848177388,33.99956574237137,0.7173096863000366,3.689915889388479,9.91462366149333,0.11159890215429734,4.328641429132464,5.144772236344258,0.11243114773710094,1,0
12,10.0,0.4954725268674151,0.009208202046856906,0.6294182721678094,0.13501375413598884,33.619788376728366,0.730435907659396,3.751093078525061,12.17719244636152,0.1007386413931225,5.128002973534956,6.24444573214962,0.11453820802311114,1,0
13,10.0,0.6844348981388786,-0.015851252732985044,0.8414373686202432,0.12357851005781373,32.94066271198009,0.617478737093676,3.5433999554031677,7.811849216682385,0.10629362397092829,5.727030302460825,6.48990272675532,0.11002329501709227,1,1
14,10.0,0.6950927857007873,-0.09696168310167333,0.8412909304883204,0.13371910800826797,34.239482768588054,0.653581862175304,3.5462331055211704,7.452933244283704,0.10054172285016817,5.539651144082807,6.2716749812178225,0.11169921076992044,1,0
15,10.0,0.7316675251238807,-0.04813905363038662,0.6509148363755854,0.2725789599854193,34.615807729964104,0.6839852512891335,3.489313255574533,7.328841201532719,0.10711372816143527,3.5272825938947956,4.024992878891387,0.110736099758706,0,0
16,10.0,0.6888734263912415,-0.20916088565394864,0.6199678708662879,0.2885359551507757,36.147065245937114,0.7257657373283133,3.2347918707212178,7.767292134726002,0.10686637073224386,3.3590818301837864,3.8379465836532676,0.1109281053409329,0,0
17,10.0,0.4525767944128519,0.21150084537638986,0.7826977998072113,0.06970326485781742,28.78640955046079,0.5552618325077171,3.414971679497045,13.314458605108705,0.07267315137439274,6.284366516741678,7.810132099914647,0.12176924148829951,1,1
18,10.0,0.6968078825192173,0.20747387016427904,0.710620521438419,0.253177303251316,31.838849557575568,0.5843207765231454,3.5129367267845653,9.287178263557207,0.11142995748946423,3.707379395186691,4.269102114003893,0.11092740843624095,0,0
19,10.0,0.6490594185835128,-0.20913195121702266,0.5900855257375908,0.2844132681925351,36.23340125572989,0.7344325043070695,3.174769076035581,8.519894037522935,0.10898312804512424,3.3761697267601245,3.8851344574214997,0.11074851476808296,0,0
0,20.0,0.7208846169945873,-0.01472901416116601,0.850509271968984,0.1532380235162181,32.68183984431164,0.5981658866940003,3.5657826876948477,7.5743503525022655,0.10639230738995767,10.029154723424906,11.293235018193725,0.10959631070818067,1,1
1,20.0,0.6940788101707774,-0.2387847238730278,0.8914678230728645,0.1425077413888848,35.887917034329874,0.684244656902331,3.4558788057573735,8.01252935514677,0.08871018545083478,10.326062008666453,11.744650616064412,0.11586631917613793,1,0
2,20.0,0.7163988956966236,0.21094179843001987,0.5948397714364411,0.34470417245444457,32.300386149842836,0.6058959434136447,3.4991543302385346,8.914468155545642,0.11161164852118317,4.94044290972216,5.785652069789272,0.11163929232281031,0,0
